subtask,seed,bin,bin_label,gap_lo,gap_hi,n,apiar_sr,repo_sr,delta_sr,apiar_srxsim,repo_srxsim,delta_srxsim
LogP,42,1,"Q1 (-3.91, 1.30]",-3.9108999999999963,1.302344000000001,1000,0.246,0.28,-0.03400000000000003,0.15643845475834872,0.18044035003035144,-0.02400189527200272
LogP,42,2,"Q2 (1.30, 2.25]",1.302344000000001,2.24856,1000,0.216,0.255,-0.03900000000000001,0.14227506575502952,0.16984895818074855,-0.027573892425719032
LogP,42,3,"Q3 (2.25, 2.94]",2.24856,2.9391320000000016,1000,0.232,0.257,-0.024999999999999994,0.15485446433187258,0.17437378635773798,-0.0195193220258654
LogP,42,4,"Q4 (2.94, 3.63]",2.9391320000000016,3.6310600000000033,1000,0.235,0.255,-0.020000000000000018,0.16020461710024192,0.17777620667534283,-0.01757158957510091
LogP,42,5,"Q5 (3.63, 7.36]",3.6310600000000033,7.361100000000005,1000,0.257,0.229,0.027999999999999997,0.17738749200644252,0.1614059897325094,0.015981502273933135
LogP,123,1,"Q1 (-3.91, 1.30]",-3.9108999999999963,1.302344000000001,1000,0.258,0.256,0.0020000000000000018,0.16802601075555829,0.1660938017928622,0.0019322089626960803
LogP,123,2,"Q2 (1.30, 2.25]",1.302344000000001,2.24856,1000,0.255,0.237,0.018000000000000016,0.1704976650933026,0.15914603206130046,0.01135163303200215
LogP,123,3,"Q3 (2.25, 2.94]",2.24856,2.9391320000000016,1000,0.257,0.221,0.036000000000000004,0.17660169686613642,0.15099743749098649,0.02560425937514993
LogP,123,4,"Q4 (2.94, 3.63]",2.9391320000000016,3.6310600000000033,1000,0.277,0.23,0.047000000000000014,0.19282708162704568,0.15753836613153774,0.03528871549550794
LogP,123,5,"Q5 (3.63, 7.36]",3.6310600000000033,7.361100000000005,1000,0.261,0.217,0.04400000000000001,0.1876755791601459,0.1549633480906759,0.032712231069469994
LogP,456,1,"Q1 (-3.91, 1.30]",-3.9108999999999963,1.302344000000001,1000,0.284,0.23,0.053999999999999965,0.17845546603257936,0.15016800098521596,0.028287465047363403
LogP,456,2,"Q2 (1.30, 2.25]",1.302344000000001,2.24856,1000,0.283,0.219,0.06399999999999997,0.1861531291095887,0.14960655174890758,0.03654657736068112
LogP,456,3,"Q3 (2.25, 2.94]",2.24856,2.9391320000000016,1000,0.289,0.23,0.05899999999999997,0.19275183011859126,0.1598124617756602,0.03293936834293107
LogP,456,4,"Q4 (2.94, 3.63]",2.9391320000000016,3.6310600000000033,1000,0.285,0.215,0.06999999999999998,0.19512374167721802,0.14780638931887916,0.047317352358338866
LogP,456,5,"Q5 (3.63, 7.36]",3.6310600000000033,7.361100000000005,1000,0.285,0.221,0.06399999999999997,0.20069625787807485,0.15760917057373508,0.04308708730433977
MR,42,1,"Q1 (19.97, 74.51]",19.9708,74.50686000000005,1000,0.211,0.239,-0.027999999999999997,0.12938001069142033,0.14416276948982126,-0.014782758798400936
MR,42,2,"Q2 (74.51, 84.89]",74.50686000000005,84.88508000000003,1000,0.203,0.24,-0.03699999999999998,0.1338066580604397,0.15688353485857195,-0.02307687679813225
MR,42,3,"Q3 (84.89, 93.59]",84.88508000000003,93.58560000000004,1000,0.199,0.228,-0.028999999999999998,0.13847304903227972,0.1540845745089899,-0.015611525476710186
