model,step,reward_mean,loss_mean,kl_mean,completion_length
RePO,100,0.3654388270806521,0.5854,0.09100341796875,507.0572916666667
v15.1-retrain,100,0.3848034741046528,0.46318333333333334,0.09851582845052083,409.4713541666667
RePO,200,0.4409102805974809,0.4161000000000001,0.1330843838778409,525.1761363636364
v15.1-retrain,200,0.3154531954152679,0.3555909090909091,0.28636585582386365,472.86647727272725
RePO,300,0.3730945761005084,0.32926666666666665,0.2734781901041667,348.6067708333333
v15.1-retrain,300,0.3944443622895051,0.282025,0.2918802897135417,439.7473958333333
RePO,400,0.40910849775272334,0.30349090909090903,0.27104048295454547,338.87215909090907
v15.1-retrain,400,0.443408987569538,0.28494545454545456,0.4037753018465909,350.3863636363636
RePO,500,0.46782085743986745,0.23664545454545455,0.29835648970170453,326.3323863636364
v15.1-retrain,500,0.4501687786965208,0.21754545454545457,0.35270552201704547,287.07102272727275
RePO,600,0.5473174508661032,0.13545454545454547,0.3243741122159091,310.84090909090907
v15.1-retrain,600,0.47026384401727805,0.16675454545454546,0.3607732599431818,302.96590909090907
RePO,700,0.4920407743404873,0.15657272727272728,0.3016357421875,305.7386363636364
v15.1-retrain,700,0.5424492327835072,0.12188181818181816,0.3844327059659091,266.51704545454544
RePO,748,0.5176241556182504,0.14788333333333334,0.3062540690104167,275.578125
v15.1-retrain,748,0.5688238582418611,0.14676666666666668,0.3691609700520833,265.7239583333333
