comparison,subtask,delta_sr,delta_srxsim,p_bootstrap,p_ttest
APIAR vs RePO,LogP,0.02453333333333338,0.01482544675491504,0.0,5.901829902923755e-06
APIAR vs RePO,MR,0.013333333333333336,0.008971402236115394,0.0005,0.001984687705948352
APIAR vs RePO,QED,0.03186666666666668,0.020607135367123317,0.0,8.974867869385347e-14
APIAR vs C2 (strongest baseline),LogP,0.00873333333333337,0.011459540232485077,0.0002,0.0004581764967137103
APIAR vs C2 (strongest baseline),MR,0.010799999999999976,0.012634817511482793,0.0,1.8468934016627485e-05
APIAR vs C2 (strongest baseline),QED,0.048400000000000026,0.03571788215906585,0.0,3.229905129228518e-39
APIAR vs C1,LogP,0.010400000000000076,0.010485394068929205,0.0004,0.0013522415731208463
APIAR vs C1,MR,0.019999999999999934,0.016752006632075128,0.0,1.9510371953436918e-08
APIAR vs C1,QED,0.028066666666666684,0.020357212580365505,0.0,3.409202860204053e-13
APIAR vs GRPO,LogP,0.12080000000000002,0.08954756075764679,0.0,8.015386233448704e-188
APIAR vs GRPO,MR,0.12446666666666664,0.09528552423901288,0.0,8.658426075972707e-264
APIAR vs GRPO,QED,0.10406666666666668,0.0791802317038803,0.0,4.310068151790491e-214
APIAR vs Abl:β-only,LogP,0.025933333333333336,0.016944839593664274,0.0,1.7115767406477966e-07
APIAR vs Abl:β-only,MR,0.023133333333333284,0.01422075482607904,0.0,1.104951157089665e-06
APIAR vs Abl:β-only,QED,0.036400000000000016,0.023523956594198425,0.0,1.2095251340920306e-17
APIAR vs Abl:Bank-only,LogP,0.016600000000000004,0.011320760049498974,0.0002,0.00052032649369819
APIAR vs Abl:Bank-only,MR,0.021400000000000002,0.01336106232778897,0.0,3.8872270698392255e-06
APIAR vs Abl:Bank-only,QED,0.027933333333333366,0.018760746139060425,0.0,1.7063000497170442e-11
